Country.Name,Region,Final Cluster,Idealpoint,me,nu,di,hr,co,ec,ps,af,sc,sp,un,int,bu,pc
Mauritius,E.AF,C2,-0.228625666,0.217888972,0.133423915,0.168336675,0.182604981,0.149264668,0.07822043,0.107402353,0.036360973,0.017424372,0.010758909,0.032678333,0.028985324,0.020992404,0.024924145
Morocco,N.AF,C2,-0.522542301,0.197962754,0.13315427,0.150875007,0.142688242,0.161277129,0.070542654,0.100983637,0.020778432,0.007237826,0.017415472,0.027286431,0.027177738,0.019088193,0.020064775
Nepal,S.AS,C2,-0.275401786,0.175772723,0.13249538,0.156110727,0.137378327,0.158248025,0.071822434,0.113081258,0.022204226,0.007475376,0.019368201,0.026300456,0.0280704,0.018016021,0.022713305
Niger,W.AF,C2,-0.355301493,0.19776447,0.137897998,0.1646315,0.131864943,0.180657923,0.077621032,0.109306811,0.022000575,0.009372514,0.021555245,0.028830635,0.028200559,0.022756424,0.024878506
Nigeria,W.AF,C2,-0.528035092,0.194254226,0.141889267,0.168620391,0.137285745,0.16478807,0.079623648,0.107872886,0.020979355,0.008987327,0.016178073,0.027068146,0.027936863,0.019716989,0.024318111
Rwanda,E.AF,C2,-0.181303452,0.119871054,0.136469262,0.176607526,0.182296687,0.125550875,0.093914679,0.101124775,0.02072884,0.010727088,0.019145496,0.029319364,0.030721058,0.021133519,0.024467092
Senegal,W.AF,C2,-0.358981562,0.207796084,0.136798115,0.168067611,0.152733717,0.16542293,0.077008296,0.100103516,0.020211541,0.009351303,0.018008587,0.029430208,0.026781781,0.02020009,0.024035781
Sierra Leone,W.AF,C2,-0.351745316,0.183273605,0.139274819,0.171875254,0.154742964,0.159391815,0.080933577,0.103176166,0.021532936,0.008797119,0.017093651,0.026352847,0.025804336,0.021197775,0.023229269
Singapore,SEA,C2,-0.140867605,0.204493749,0.135875657,0.165802211,0.140209586,0.163401515,0.076581978,0.091900749,0.019022701,0.00706805,0.014271731,0.03023702,0.028439187,0.020130995,0.024807121
Somalia,E.AF,C2,-0.616206947,0.190721819,0.122516443,0.137661894,0.152825279,0.17042479,0.07812686,0.124201717,0.026533669,0.011176516,0.020457529,0.029596311,0.031174819,0.026647478,0.022019333
Sri Lanka,S.AS,C2,-0.552760598,0.187099382,0.133285117,0.153547762,0.131518318,0.160537111,0.074701224,0.104901874,0.021618179,0.008106359,0.017837257,0.025021324,0.026832687,0.019076959,0.023091979
Sudan,N.AF,C2,-0.979959267,0.192438127,0.132932864,0.15415716,0.122559744,0.165057956,0.072534718,0.102811145,0.021621096,0.007438144,0.018673023,0.025725479,0.025627952,0.019004097,0.020790251
Tanzania,E.AF,C2,-0.736473967,0.195708151,0.136931955,0.164396124,0.145787391,0.175697723,0.07949211,0.095994346,0.020270304,0.00760906,0.016245102,0.028932294,0.029058865,0.020714788,0.023791912
Togo,W.AF,C2,-0.300097049,0.184793863,0.139073943,0.167518229,0.140853883,0.161468975,0.078385604,0.107100606,0.020395251,0.009025595,0.017897462,0.028409976,0.027365306,0.019750404,0.025218557
Trinidad and Tobago,CAR,C2,-0.199333881,0.193918366,0.141165759,0.17114099,0.151239598,0.163851474,0.081131455,0.110866367,0.020572548,0.008421367,0.0199998,0.030091781,0.028924879,0.022426563,0.02423269
Tunisia,N.AF,C2,-0.519561924,0.195124609,0.134643855,0.154885243,0.144555784,0.167475891,0.0773007,0.114123151,0.022448354,0.008432371,0.020277416,0.026750668,0.027344628,0.018454833,0.025058202
Uganda,E.AF,C2,-0.631256359,0.182906966,0.135353627,0.167273327,0.1459209,0.162401058,0.084934842,0.098459031,0.019347759,0.007137177,0.014186483,0.026900248,0.02756757,0.02063961,0.022010612
Zambia,E.AF,C2,-0.568313258,0.208598963,0.137886472,0.169286518,0.158058829,0.169953586,0.08246142,0.093649887,0.020158853,0.007703829,0.014490781,0.031159826,0.029009524,0.021739582,0.02409063
Afghanistan,S.AS,C3,-0.762547575,0.161614755,0.109829342,0.130275047,0.130118001,0.161168766,0.067731732,0.107195739,0.023578665,0.012195295,0.01756179,0.015639331,0.021934733,0.014087855,0.017776324
Argentina,S.AM,C3,0.455862413,0.142455485,0.078273403,0.104782575,0.110515785,0.130058733,0.064477982,0.110563403,0.016856867,0.009772564,0.015282759,0.02228636,0.021475059,0.016086667,0.020634017
Bolivia,S.AM,C3,0.222773744,0.141549581,0.108485106,0.128128808,0.120219476,0.130088391,0.070185567,0.116699163,0.01548366,0.009299636,0.017851463,0.021658091,0.023493918,0.016721922,0.023049351
Brazil,S.AM,C3,0.374358849,0.157129986,0.091343257,0.109808909,0.122499072,0.132473062,0.065444537,0.115170775,0.018161451,0.009259309,0.016131903,0.022167438,0.022855641,0.013986109,0.022337953
Chile,S.AM,C3,0.347285169,0.145751797,0.101544636,0.12460935,0.120865098,0.126090555,0.064687487,0.116590987,0.015800998,0.008929467,0.016119947,0.021015465,0.021307725,0.015261576,0.021827399
Colombia,S.AM,C3,0.312054907,0.142016455,0.100672134,0.125371166,0.120430948,0.122382988,0.065011259,0.114568875,0.017040737,0.010200732,0.016100045,0.021557588,0.023068602,0.01655814,0.022633759
Costa Rica,C.AM,C3,0.498787831,0.098158579,0.106079438,0.130079339,0.12610655,0.114407129,0.063903453,0.118566177,0.018243284,0.007118715,0.017397594,0.022210356,0.023110964,0.016278563,0.023181773
Cuba,CAR,C3,-1.076684745,0.163121792,0.085336913,0.094577143,0.109464708,0.160516971,0.062873351,0.086762736,0.018850765,0.008189927,0.011195172,0.01575972,0.021893587,0.006463907,0.013017129
Dominican Republic,CAR,C3,0.513774514,0.093257899,0.10987127,0.135245366,0.121395158,0.106288569,0.069067094,0.115924542,0.016398613,0.008649571,0.015841884,0.019402714,0.02627676,0.01641987,0.021683301
Ecuador,S.AM,C3,0.092295351,0.14809892,0.105402613,0.126268904,0.135545333,0.148431029,0.06884697,0.122376736,0.0191158,0.009208899,0.018252413,0.019829344,0.02531957,0.016821662,0.021652432
Egypt,N.AF,C3,-0.732859792,0.164200603,0.110228079,0.122278912,0.120907219,0.168415455,0.064330639,0.113413457,0.020244076,0.012057602,0.018218279,0.022195328,0.025248902,0.015481593,0.018769773
El Salvador,C.AM,C3,0.401484885,0.12688279,0.107887129,0.127600317,0.137826089,0.129199715,0.062532037,0.107707948,0.014535177,0.008917963,0.01582896,0.018711064,0.022850935,0.015566138,0.021570138
Ethiopia,E.AF,C3,-0.345521563,0.157915508,0.107477729,0.125637529,0.125061058,0.162172659,0.069579747,0.109870617,0.020671707,0.009028647,0.017973246,0.020819445,0.021758819,0.015683388,0.019414585
Guatemala,C.AM,C3,0.312266977,0.107933881,0.108628131,0.133694198,0.11536883,0.121048458,0.061866603,0.116081732,0.016686666,0.009571616,0.018193656,0.021872867,0.021397773,0.017944285,0.023272495
Haiti,CAR,C3,0.178942836,0.128315652,0.105019947,0.131667529,0.136758294,0.14172544,0.07066192,0.116328274,0.023688584,0.010961502,0.017069792,0.017626417,0.022050344,0.015776393,0.020224014
Honduras,C.AM,C3,0.445380256,0.118023794,0.103796668,0.13116928,0.12870414,0.10721168,0.065344966,0.109616502,0.014957406,0.009988009,0.014924933,0.019229963,0.024078098,0.015478014,0.022436785
India,S.AS,C3,-0.519366224,0.164022311,0.065892536,0.077071926,0.109910891,0.161159692,0.063566369,0.105250793,0.019839569,0.007037991,0.018538624,0.022167507,0.021393894,0.016677724,0.019445194
Iran,S.AS,C3,-0.53860636,0.161350262,0.114383693,0.123293906,0.116454658,0.171436796,0.068078321,0.136440236,0.019452071,0.011642065,0.0187346,0.020556171,0.024627066,0.016746992,0.024441656
Iraq,W.AS,C3,-0.79906115,0.135448043,0.106549894,0.117135422,0.127372147,0.178297632,0.066900422,0.117614263,0.026519689,0.012598156,0.018633482,0.017764131,0.025790303,0.014985776,0.017784948
Lebanon,W.AS,C3,-0.435586333,0.17247666,0.11254488,0.128925874,0.125894356,0.170550225,0.065612387,0.12035918,0.019720494,0.010560568,0.018952588,0.021568361,0.024589934,0.015472403,0.020312229
Liberia,W.AF,C3,0.11954364,0.103016528,0.123128531,0.126068593,0.113927635,0.143709874,0.066942035,0.13661456,0.022142192,0.014372031,0.019017,0.021298815,0.024523645,0.017954724,0.021435181
Mexico,C.AM,C3,0.007932112,0.157560643,0.110769001,0.129231096,0.136875357,0.158206859,0.066948856,0.120117163,0.019182593,0.011076935,0.019552562,0.022416937,0.024800564,0.016803933,0.021843643
Myanmar,SEA,C3,-0.540743329,0.166827962,0.096100471,0.109872903,0.121368125,0.160309009,0.066669542,0.112387305,0.02243483,0.010640963,0.018228745,0.023551438,0.025744687,0.016768984,0.018505595
Nicaragua,C.AM,C3,0.353262388,0.127190454,0.105802576,0.125590039,0.117381216,0.094724464,0.061127194,0.107980985,0.011595304,0.008414628,0.01354143,0.018918086,0.020766506,0.01662331,0.020783024
Pakistan,S.AS,C3,-0.337763361,0.168464923,0.094746715,0.111401529,0.122678232,0.170708598,0.063661305,0.123532236,0.021311787,0.01079567,0.019614321,0.022333893,0.023629349,0.016071164,0.02259057
Panama,C.AM,C3,0.317573003,0.126071094,0.101904611,0.126598113,0.11631631,0.129324956,0.065237356,0.128609208,0.020533453,0.009339793,0.018091744,0.022141335,0.027996749,0.018150017,0.025903845
Paraguay,S.AM,C3,0.570962458,0.133446639,0.107645119,0.131322176,0.112498268,0.102542815,0.066472645,0.100901224,0.008573741,0.00480477,0.013309112,0.020058078,0.022168714,0.018086876,0.022941161
Peru,S.AM,C3,0.318232166,0.144704168,0.105751066,0.128220701,0.126155182,0.129509637,0.067393494,0.104497296,0.017689021,0.007552058,0.01523644,0.019039386,0.024364876,0.015492076,0.021507141
Philippines,SEA,C3,0.009541262,0.159326483,0.110996771,0.130038494,0.124878105,0.157005108,0.067454313,0.121095243,0.019524765,0.009995004,0.016928141,0.022444604,0.023996428,0.015972887,0.022042411
Saudi Arabia,W.AS,C3,-0.507163008,0.169700659,0.110238698,0.121219667,0.129640779,0.1714314,0.064630735,0.107969083,0.020320452,0.009823476,0.016817251,0.020471914,0.023707299,0.014384443,0.01845986
Syria,W.AS,C3,-1.186509532,0.170139101,0.104443368,0.11705096,0.11186,0.17385318,0.067298024,0.098414804,0.021552733,0.010026913,0.014570478,0.014787982,0.023200097,0.016129129,0.017134817
Thailand,SEA,C3,0.094686988,0.157591585,0.111721803,0.133424797,0.119706631,0.151287479,0.066855241,0.119509032,0.019932698,0.007948136,0.018952669,0.022601031,0.024587084,0.015011818,0.022628416
Uruguay,S.AM,C3,0.415860943,0.122688647,0.103021087,0.123274124,0.121203548,0.130091491,0.061545871,0.125795084,0.015140257,0.011758537,0.016591975,0.021023406,0.02456915,0.016836881,0.023612445
Venezuela,S.AM,C3,0.017181615,0.153013034,0.110956262,0.127370181,0.119155108,0.150885305,0.066093984,0.111964408,0.018120466,0.01079635,0.017541308,0.018551568,0.023515734,0.016595738,0.023133552
